4r40_C		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_0_-_2_B_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_6_E_0_-_6_A_5_E_6_E_5_D_5_E_6_D_6_B_17_E_5_E_6_E_6_A_7_E_5_G_2_G_5_B_7_C	0-13	12-28	BjACBGBGGGGGBBbi	CDiBbeHHImFFEAEEDEDBEEEAEGGBCEFCF	0.558
1z87_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_0_-_12_G_0_-_12_G_12_G_12_G_2_B_17_B_8_b_6_i	_0_G_0_-_11_G_3_D_36_B_0_-_12_D_4_F_5_c_8_D_9_i_6_C_45_C_3_E_9_E_4_E_0_-_3_l	0-15	0-14	BjACBGBGGGGGBBbi	GGDBDFcDiCCEEEl	0.359
2cdu_B		_0_B_0_-_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_0_-_12_G_0_-_12_G_12_G_12_G_2_B_0_-_17_B_8_b	_3_B_2_F_0_b_1_E_5_D_2_C_3_B_12_B_3_k_2_D_3_j_4_E_11_k_2_D_3_F_2_E_4_C_1_C_3_B_2_b	0-14	7-26	BjACBGBGGGGGBBbi	DkDdbceBFbEDCBBkDjEkDFECCBbBbBbBkDFeGGHjel	0.414
7kmq_A		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_0_-_2_B_7_G_12_G_12_G_12_G_12_G_2_B_0_-_0_-_0_-_0_-_0_-_17_B_8_b_6_i	_0_C_6_b_0_-_1_C_3_D_5_G_15_k_3_f_18_F_5_H_4_G_2_I_4_G_5_G_5_D_2_F_11_M_2_M_11_k_3_l_3_B_4_c_2_i	0-15	1-22	BjACBGBGGGGGBBbi	cCbCDGkfFHGIGGDFMMklBcimcAhoAcloAAAAohbbkkjAkCCGGHFFFD	0.434
3gp8_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_12_G_0_-_12_G_0_-_0_-_12_G_2_B_17_B_8_b_6_i	_6_C_8_j_6_A_4_A_5_B_11_D_2_C_9_c_0_B_0_-_2_B_0_c_4_G_1_e_2_h_1_H_0_-_0_-_1_h_9_h	0-15	32-48	BjACBGBGGGGGBBbi	hjfeinAjkBBncjEkDjBcAACbhEgCchDjCjAABDCcBBcGehHhh	0.420
8t6r_A		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_0_-_12_G	_0_B_7_i_0_-_6_C_1_k_6_C_2_E_2_D_9_F_8_D_6_B_2_G_4_K_2_b_0_G	0-11	11-24	BjACBGBGGGGGBBbi	ddBBbBIepcbBiCkCEDFDBGKbG	0.541
3suc_A		_0_B_2_j_3_A_1_C_0_-_2_B_0_-_7_G_2_B_7_G_12_G_0_-_12_G_12_G_0_-_12_G_0_-_2_B_0_-_17_B_0_-_8_b	_3_C_0_-_5_B_4_C_5_A_2_E_5_A_2_E_2_D_5_I_5_E_2_A_4_E_2_E_4_C_11_G_0_b_7_D_2_C_8_B_3_D_7_b	0-14	41-61	BjACBGBGGGGGBBbi	jAbDhBDBKBJcCJCEBBEBBJDJDJcEJEJDJDHDGDABCCBCAEAEDIEAEECGbDCBDbDDKDDFG	0.470
5y09_A		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b_6_i	_2_D_0_k_0_-_10_C_4_e_9_E_14_D_2_A_0_-_5_D_2_C_1_d_6_G_2_G_18_C_2_D_2_g_3_c_2_g	0-15	15-31	BjACBGBGGGGGBBbi	cGICbFIEcEKFBEbDkCeEDADCdGGCDgcgEbEAhEEkc	0.519
6zgh_B		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_0_-_7_G_2_B_7_G_12_G_12_G_12_G_12_G_0_-_2_B_17_B_0_-_8_b	_5_D_0_-_13_A_4_F_6_D_8_E_4_N_6_N_16_I_2_H_14_F_7_I_16_F_1_H_5_E_4_h_7_C_10_C_25_D_7_b	0-14	2-20	BjACBGBGGGGGBBbi	CEDAFDENNIHFIFHEhCCDbDJbcFBBJEHABDDCCCAABBDJAdufeAmbjdnndxABJDADBBEAe	0.452
2wyh_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_0_-_0_-_0_-_0_-_12_G_12_G_12_G_12_G_0_-_2_B_0_-_17_B_0_-_8_b_0_-_6_i	_4_B_0_-_3_D_5_D_5_D_1_E_16_A_0_b_1_H_3_K_4_g_4_b_8_K_5_H_4_G_6_E_2_E_14_A_3_D_3_F_4_D_4_H_12_c_2_K_3_i	0-15	34-57	BjACBGBGGGGGBBbi	GoAhjAmBeCAADElEjDjBdjjjctFLkCJLHABDDDEAbHKgbKHGEEADFDHcKiCBGFAEAH	0.369
3c1a_B		_0_B_2_j_3_A_0_-_1_C_0_-_2_B_0_-_7_G_0_-_2_B_0_-_0_-_0_-_7_G_0_-_12_G_12_G_12_G_12_G_2_B_17_B_0_-_8_b_6_i	_0_F_7_e_4_G_2_c_7_B_2_d_6_D_2_k_2_D_6_k_3_B_1_c_1_g_1_c_2_H_13_f_10_J_2_J_2_G_4_G_3_A_9_B_13_A_0_-_7_j	0-15	0-23	BjACBGBGGGGGBBbi	FeGcBdDkDkBcgcHfJJGGABAjk	0.361
3o13_A		_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B_8_b	_0_i_3_J_2_E_2_E_13_I_7_C_2_B_10_H_2_H_3_B_0_l_11_C_6_C_11_B_0_b	1-14	0-14	BjACBGBGGGGGBBbi	iJEEICBHHBlCCBbE	0.542
8e0q_B		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_2_B_0_-_7_G_12_G_12_G_12_G_12_G_0_-_2_B_17_B_0_-_0_-_8_b_0_-_6_i	_4_E_2_j_10_D_6_D_12_B_0_-_2_c_2_A_3_b_14_G_6_F_4_F_2_F_6_E_4_d_7_B_8_B_5_A_20_I_4_b_5_I_2_g	0-15	18-38	BjACBGBGGGGGBBbi	HkdEEGHCDDcEEEbACDEjDDBcAbGFFFEdBBAIbIgmgglhflhbfcBdBkbmjghgkqbjojepwblbobccbdhbficlkkABnfdkgAAkjcgeCljDBDk	0.492
6giz_A		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_7_G_0_-_12_G_12_G_12_G_12_G_2_B_17_B_8_b	_2_D_11_j_7_D_16_k_4_C_5_C_2_A_2_A_4_E_22_b_31_D_3_F_4_G_10_E_0_-_0_-_2_d	0-14	26-40	BjACBGBGGGGGBBbi	AbAGFAbDCBAAFFCCjCbckBbbeDDjDkCCAAEbDFGEd	0.520
6upk_H		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_0_-_0_-_2_B_7_G_12_G_12_G_12_G_0_-_12_G_0_-_0_-_0_-_2_B_17_B	_4_D_5_h_21_C_4_C_4_C_7_C_4_C_12_A_11_A_3_B_4_F_3_D_5_C_3_G_5_K_4_I_14_e_11_k_12_b_4_B_4_E	0-13	7-27	BjACBGBGGGGGBBbi	AACCBEDDhCCCCCAABFDCGKIekbBECCDGFkB	0.386
4rul_A		_0_B_0_-_2_j_3_A_1_C_2_B_0_-_7_G_0_-_2_B_0_-_7_G_12_G_12_G_0_-_0_-_12_G_12_G_2_B_17_B	_4_B_1_A_9_i_10_G_2_E_8_B_14_A_6_E_4_D_8_B_1_b_9_F_6_F_2_E_8_A_10_f_4_C_10_C_2_D_4_B	0-13	44-63	BjACBGBGGGGGBBbi	DgDAhAAAjCkbBhnflIBDjKfkkbblJJcKifCCklnbEEDbBAiGEBAEDBbFFEAfCCDB	0.435
7koe_G		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_0_-_7_G_0_-_12_G_0_-_12_G_12_G_0_-_0_-_0_-_12_G_2_B_17_B_8_b_0_-_6_i	_12_C_1_l_2_B_4_B_10_C_5_B_0_-_2_C_6_d_12_H_5_e_5_H_0_b_6_D_4_G_0_d_6_g_4_c_7_I_10_A_2_B_1_c_10_o_9_g	0-15	10-32	BjACBGBGGGGGBBbi	ACjCAecGCCClBBCBCdHeHbDGdgcIABcoggdkjid	0.434
5izk_B		_0_B_2_j_3_A_0_-_1_C_0_-_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_0_-_8_b	_2_F_4_k_3_E_8_l_10_B_9_h_10_B_2_E_7_C_4_H_13_E_11_B_5_A_2_E_16_B_4_B_3_C_4_b	0-14	4-21	BjACBGBGGGGGBBbi	GhDkFkElBhBECHEBAEBBCbBEABBCbBEAACCAbD	0.529
5w6h_B		_0_B_2_j_3_A_1_C_0_-_0_-_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_12_G	_2_A_0_-_17_A_5_C_2_A_8_b_24_C_6_D_11_E_5_G_7_I_2_H_10_C_7_G_6_H	0-11	55-68	BjACBGBGGGGGBBbi	jbBCCDCCfEBCCBCgccEGBCAjBBCBCEhBBCABBBABBCCACDCCDCBDBBDAACAbCDEGIHCGHK	0.612
6aio_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_0_-_12_G_12_G_12_G_0_-_0_-_12_G_2_B_0_-_17_B_8_b_0_-_0_-_0_-_6_i	_8_B_2_j_5_C_3_F_4_F_2_J_13_E_3_F_3_b_4_D_5_D_5_F_6_l_6_b_1_G_2_D_3_A_2_B_1_b_1_A_11_m_4_k_5_j	0-15	10-32	BjACBGBGGGGGBBbi	HjDAhfBEEcBjCFFJEFbDDFlbGDABbAmkjll	0.429
4l39_A		_0_B_2_j_3_A_0_-_1_C_0_-_2_B_7_G_2_B_0_-_7_G_12_G_12_G_12_G_0_-_0_-_12_G_2_B_0_-_0_-_17_B_8_b_6_i	_5_D_2_k_4_A_2_B_4_C_7_b_2_B_5_E_9_A_0_b_5_F_7_A_2_H_2_H_13_g_3_d_10_C_6_C_14_g_4_f_9_A_10_c_11_f	0-15	24-46	BjACBGBGGGGGBBbi	hmdfjbCCnCACecbdkbGjijjdDkABCbBEAbFAHHgdCCgfAcfA	0.431
7qqk_B		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_12_G_0_-_12_G_0_-_12_G_0_-_12_G_2_B_17_B	_14_C_11_j_1_h_3_D_4_i_9_B_0_-_5_B_12_E_13_F_7_i_3_H_7_o_4_F_2_i_4_C_21_C_7_C	0-13	14-30	BjACBGBGGGGGBBbi	CmAjEdaiEecBqFCjhDiBBEFiHoFiCCC	0.444
3afg_B		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_0_-_0_-_0_-_0_-_0_-_7_G_12_G_12_G_12_G_12_G_2_B_0_-_0_-_17_B	_1_A_9_j_3_D_20_E_23_C_3_C_8_C_2_C_2_m_5_j_5_b_12_d_1_b_1_H_4_H_3_G_5_F_5_D_7_E_4_J_2_H_2_B	0-13	17-38	BjACBGBGGGGGBBbi	gGkDFfECEEibEBkcEAjDECCCCmjbdbHHGFDEJHB	0.374
3npf_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_0_-_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b_6_i	_0_C_0_-_3_D_9_C_3_E_2_D_5_D_2_A_2_h_2_C_3_D_8_E_3_G_2_D_5_D_3_B_0_e_5_h	0-15	0-16	BjACBGBGGGGGBBbi	CDCEDDAhCDEGDDBehAAAfcBEIDDdEbc	0.503
