2hv6_A	_0_i_3_d_2_f_4_o_9_b	_7_i_7_d_1_f_4_j_4_c	0.627
1qni_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_5_E_0_-_0_-_0_f_0_-_6_c_0_B_7_E_4_E_4_E	0.361
4wsw_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_6_H_0_-_0_-_3_f_0_-_0_-_7_C_4_C_15_H_4_E	0.394
1nx9_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_7_F_0_-_17_c_2_b_0_-_3_c_4_D_7_D_2_G_5_H_8_b_3_I	0.482
1b66_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_0_-_1_C_5_D	_4_K_10_g_5_b_2_A_0_c_0_-_1_b_6_l_5_H_2_D	0.380
3cwb_F	_0_i_3_d_0_-_2_f_4_o_9_b	_0_k_1_c_3_b_5_h_2_n_5_b	0.575
7tnm_D	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_0_-_1_C	_7_I_10_b_4_o_6_c_5_j_11_o_4_b_12_d_5_D	0.490
4v2i_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_0_-_1_C_5_D_3_J_0_-_3_I	_1_J_1_l_6_D_10_d_8_j_0_-_13_b_2_c_0_-_0_-_5_G_3_k_4_I	0.361
5oe8_A	_0_I_0_-_0_-_0_-_0_i_0_-_3_d_2_f_4_o_9_b_0_-_0_-_1_C_5_D_3_J_3_I	_2_H_5_c_7_D_1_b_2_h_7_D_8_d_1_f_1_E_1_b_5_h_4_e_21_A_9_E_6_H_2_I	0.376
4e08_A	_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_1_j_3_D_3_e_7_A_3_e_5_A_0_-_5_C_2_C	0.419
3uwc_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_13_D_2_i_4_B_2_A_9_h_3_m_1_b_3_A_7_A_5_D	0.425
2c07_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_1_G_7_g_0_-_10_j_0_-_1_b_6_C	0.447
1lvg_A	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C	_2_E_0_h_3_D_2_f_7_E_3_j_4_k_2_b_6_C	0.370
1yfu_A	_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_0_f_0_-_1_b_6_B_6_E_8_B_4_F_2_F	0.456
5a4r_A	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_13_G_0_-_0_-_0_-_9_q_5_C_13_d_2_C_4_D_0_-_6_G	0.372
2eig_A	_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_0_b_0_B_4_b_2_F_3_A_10_J_8_G	0.521
6a7s_B	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_2_I_1_i_3_A_5_j_0_-_7_H_0_-_4_C_21_F_2_G_7_F	0.402
4oen_B	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_4_I_0_-_8_b_3_D_3_g_0_-_1_c_2_D_2_i_4_D_0_h_4_A_5_E	0.393
4h5p_D	_0_i_3_d_2_f_4_o_9_b	_4_f_5_b_2_e_6_o_1_b	0.668
5xxu_F	_2_f_4_o_9_b_1_C_5_D	_0_f_11_m_5_j_3_D_8_D	0.618
3unv_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_9_j_15_c_0_-_1_p_0_-_7_B_4_B	0.438
2rj9_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D	_9_F_6_c_1_d_2_c_2_D_3_B_5_b_3_D_8_b_25_D	0.375
1mpu_A	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_4_H_1_i_3_A_9_d_3_G_6_B_0_-_0_-_11_B_6_D_3_D_5_F	0.359
4hgv_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_16_j_20_f_2_e_5_m_0_-_3_E_2_F	0.493
1op0_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D_3_J_3_I	_2_I_0_-_2_C_0_-_0_-_1_b_5_C_12_B_1_E_14_D_24_E_15_G	0.351
1kqw_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_0_H_1_f_0_-_4_g_0_-_0_-_4_F_2_F_5_E_4_C_7_H	0.386
3c8j_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D_3_J_3_I	_2_I_1_i_0_-_10_i_5_G_4_C_8_d_8_C_4_C_0_-_5_G	0.462
6s0m_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_4_I_4_E_4_b_2_e_0_-_1_b_8_A_1_j_9_C	0.360
4lmg_B	_9_b_1_C_5_D_3_J_3_I	_12_j_3_E_3_E_7_F_4_F	0.351
6td5_h	_0_I_0_-_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_7_H_3_F_6_B_1_C_3_b_1_f_6_m_0_-_7_E_5_D	0.380
1edz_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_2_E_3_k_5_C_7_e_14_g_17_j_0_-_17_D_6_h_4_D_3_E_10_F	0.453
1i27_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_7_i_4_e_3_c_3_l_0_-_2_D_2_D	0.571
6cqs_A	_0_I_0_-_0_i_0_-_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_3_H_3_D_5_l_3_D_5_c_2_e_4_C_0_o_6_h_7_B_1_b_1_D_0_-_2_E	0.436
5f1z_A	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_0_-_9_b_1_C_5_D	_8_G_0_-_5_e_10_D_4_E_6_f_4_n_2_A_5_b_0_B_5_B	0.468
4d28_B	_0_I_0_i_3_d_0_-_0_-_0_-_2_f_4_o_9_b_1_C_5_D	_5_G_0_-_0_d_4_k_8_E_3_F_7_f_4_o_8_b_0_B_5_B	0.499
2hdo_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_1_e_2_c_7_f_13_k_4_b_1_A_3_f_7_B	0.523
5abx_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_0_-_0_-_3_J_3_I	_0_J_0_-_7_c_0_H_0_h_0_-_4_b_5_E_15_F_2_l_4_e_0_F_5_F	0.393
3e27_B	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_4_E_14_j_5_B_12_j_4_F_0_h_0_-_3_c_4_D_13_B	0.363
1s7i_A	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_0_H_0_-_1_b_0_-_5_o_2_E_3_b_1_D_4_D_0_-_8_I	0.550
6e6i_F	_0_I_0_i_3_d_2_f_0_-_0_-_4_o_9_b_1_C_0_-_5_D	_0_E_4_k_12_f_10_f_4_D_2_b_7_o_0_-_4_B_11_k_5_B	0.388
5i0y_B	_9_b_0_-_0_-_1_C_5_D_3_J_3_I	_13_b_2_H_17_G_5_D_1_D_2_G_5_I	0.479
