3cwb_F	_4_j_2_c_1_c_0_-_2_m_2_c_2_c_7_m	_0_k_1_c_3_b_5_h_2_n_5_b_3_b_5_m	0.657
4v2i_A	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_4_j_2_c_1_c_0_-_2_m_0_-_2_c_2_c_7_m	_2_j_9_G_7_G_0_-_6_F_13_j_2_E_10_l_1_c_1_J_1_l_6_D_10_d_0_-_8_j_13_b_2_c_5_G_3_k_4_I_6_b_0_-_3_n	0.431
5b1h_A	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_0_-_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_0_-_7_m_2_k	_5_b_1_E_0_b_7_j_8_D_3_j_3_F_4_h_0_-_3_D_1_m_4_A_8_f_2_g_6_D_4_k_4_F_3_b_0_-_0_-_18_d_0_-_2_F_1_l_5_k	0.425
5zgb_D	_4_E_5_k_8_C_8_j_9_D_6_e_1_d	_0_F_0_-_20_E_2_j_8_D_33_b_3_c	0.648
4dqx_B	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_0_-_2_c_7_m_2_k_3_l_6_k_3_b	_0_D_4_j_3_E_2_j_3_D_5_d_2_f_4_C_0_-_14_e_0_-_5_i_8_E_2_b_0_-_7_l_4_b_1_G_5_f_0_-_2_h_0_-_8_e_6_b	0.460
2nwh_A	_0_i_4_E_5_k_8_C_8_j_0_-_0_-_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_0_-_7_m_0_-_2_k_3_l_6_k_3_b_2_c_2_i	_1_j_3_D_0_-_1_B_2_j_3_A_2_B_6_E_0_-_0_-_5_F_1_d_2_c_2_h_2_D_4_k_4_C_3_f_3_b_2_D_0_g_4_f_5_D_3_D_4_C_15_j_4_l_0_-_6_b_0_-_2_g	0.419
4e08_A	_0_i_4_E_0_-_0_-_0_-_5_k_8_C_0_-_8_j_9_D_6_e_0_-_1_d_0_-_5_F_2_b_2_c_3_C_0_-_4_j	_5_k_3_E_6_A_5_A_3_A_1_b_6_C_3_h_1_j_3_D_3_e_7_A_3_e_5_A_5_C_0_-_0_-_2_C_2_l_1_j	0.435
1ea5_A	_4_E_5_k_8_C_8_j_9_D_0_-_6_e_0_-_1_d_0_-_5_F_2_b_2_c_3_C_0_-_0_-_0_-_4_j_2_c_0_-_0_-_1_c_2_m_2_c_0_-_2_c_7_m_2_k_3_l_6_k_0_-_3_b_2_c_2_i	_0_C_0_-_2_C_0_-_1_D_2_I_6_b_13_B_19_c_13_E_7_F_12_b_2_f_2_C_5_d_12_n_1_J_1_j_1_c_4_D_12_k_7_i_2_j_23_f_7_E_4_f_13_j_5_i_9_k_5_j_5_E_10_b_7_c_2_b	0.377
5efh_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_2_g_0_-_11_n_5_D_20_j_6_D_6_e_0_-_6_G_10_b_7_b_3_E_6_f_5_f_3_E_13_A_1_j_3_b_0_-_0_-_1_D_5_l_15_k_0_-_4_c	0.445
2c07_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_0_-_4_j_2_c	_4_i_5_E_2_j_5_D_5_k_5_C_14_g_5_l_2_E_0_-_3_c_5_p_1_G_7_g_10_j_1_b	0.546
1lvg_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_4_j_2_c	_2_i_2_F_0_-_2_E_0_h_3_D_2_f_0_-_7_E_3_j_4_k_2_b_6_C_3_j_1_e	0.568
2gsb_A	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e	_9_i_5_E_7_E_0_-_9_C_0_-_3_C_7_g	0.521
2elc_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_0_-_0_-_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l	_3_k_10_E_11_i_3_E_9_f_8_j_1_D_0_c_1_d_0_-_1_f_4_d_10_D_3_k_3_F_10_D_3_D_1_c_6_c_4_j_0_-_0_-_6_l_6_k_1_l	0.555
